"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x913732650627665920","x1156191732666720256",2019-07-30 13:16:04,"InfoMdpya","“Para paliar la crisis vamos a poner la leche lo más bajo posible”
#precios #Leche #crisis 
#alimentación 
@elamanecermdq
https://t.co/SxQwADSNh8","Twitter for Android",145,,,,FALSE,FALSE,0,0,"precios Leche crisis alimentación",,"mdpya.com.ar/para-paliar-la…","https://t.co/SxQwADSNh8","https://www.mdpya.com.ar/para-paliar-la-crisis-vamos-a-poner-la-leche-lo-mas-bajo-posible/",,,,,,,,,"x100758850","elamanecermdq","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/InfoMdpya/status/1156191732666720256","mdpya","Mar del Plata, Argentina","Noticias de Mar del Plata y la Región","https://t.co/zVd20RqgDC",FALSE,3108,3454,11,19840,552,2017-09-29 11:50:15,FALSE,"https://t.co/zVd20RqgDC","http://www.mdpya.com.ar",,"https://pbs.twimg.com/profile_banners/913732650627665920/1506705575","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/913812048462716928/6KUZCxgf_normal.jpg"
"x73305605","x1156188980263751680",2019-07-30 13:05:08,"mlavandera","El abatimiento de los acuíferos es tal que se extrae agua a más de 200 metros de profundidad del Acuífero Principal, un nivel que se esperaba alcanzar hasta el año 2100 pero que la avaricia de los dueños de LALA ha adelantado 80 años. #Agua #leche... https://t.co/6tdLbr6amy","Facebook",274,,,,FALSE,FALSE,0,0,"Agua leche",,"bit.ly/2K4l7Qa","https://t.co/6tdLbr6amy","https://bit.ly/2K4l7Qa",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mlavandera/status/1156188980263751680","Mauricio Lavandera","Morelia, Mich. México.","Es fácil cambiar, solo tienes que querer hacerlo. 😘",,FALSE,735,630,6,27668,2353,2009-09-11 04:06:37,FALSE,,,,"https://pbs.twimg.com/profile_banners/73305605/1514763299","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1014254113792626688/mGCbvAy3_normal.jpg"
"x76802719","x1156187515415650304",2019-07-30 12:59:19,"GeoAA","Empoderémonos, Hagamos posible la Lactancia Materna

Semana Mundial de la Lactancia Materna
del 1o al 7 de agosto de 2019

#LactanciaMaternaINPer 
#LactanciaMaterna #lechematerna #leche #lechehumana #lactancia https://t.co/pLUXhGQrdz","Twitter for iPhone",140,,,,FALSE,TRUE,0,27,,,,,,,,,,,,,,"x122139029","INPer_mx","es",,,,,,,,,,,,,,,,"x1155693802205712386","Empoderémonos, Hagamos posible la Lactancia Materna

Semana Mundial de la Lactancia Materna
del 1o al 7 de agosto de 2019

#LactanciaMaternaINPer 
#LactanciaMaterna #lechematerna #leche #lechehumana #lactancia https://t.co/pLUXhGQrdz",2019-07-29 04:17:28,"Twitter for iPhone",50,27,"x122139029","INPer_mx","INPer",21210,300,11816,"México","Instituto Nacional de Perinatología. Institución líder en Latinoamérica en investigación, educación, atención médica, salud reproductiva y perinatal.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GeoAA/status/1156187515415650304","Georgina Arteaga","","",,FALSE,64,121,5,4921,7793,2009-09-24 00:20:31,FALSE,,,,"https://pbs.twimg.com/profile_banners/76802719/1546501037","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/600682959117492226/mIpmiX3A_normal.jpg"
"x1034422235061088257","x1156183695302299648",2019-07-30 12:44:08,"MarioSo81908735","Curso @INPer_mx
¡El cuidado cariñoso en la infancia transforma a personas y a generaciones!

Dirigido a: Embarazadas y familiares

Lunes 5 de agosto • Entrada libre

#SemanaMundialdelaLactanciaMaterna

#LactanciaMaternaINPer 
#LactanciaMaterna #lechematerna #leche #lechehumana https://t.co/sYXIOKFQ4O","Twitter for Android",140,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,"x122139029 x122139029","INPer_mx INPer_mx","es",,,,,,,,,,,,,,,,"x1156057764365570048","Curso @INPer_mx
¡El cuidado cariñoso en la infancia transforma a personas y a generaciones!

Dirigido a: Embarazadas y familiares

Lunes 5 de agosto • Entrada libre

#SemanaMundialdelaLactanciaMaterna

#LactanciaMaternaINPer 
#LactanciaMaterna #lechematerna #leche #lechehumana https://t.co/sYXIOKFQ4O",2019-07-30 04:23:44,"Twitter for iPhone",9,3,"x122139029","INPer_mx","INPer",21210,300,11816,"México","Instituto Nacional de Perinatología. Institución líder en Latinoamérica en investigación, educación, atención médica, salud reproductiva y perinatal.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/MarioSo81908735/status/1156183695302299648","Mario Solis","México","Doctor en Ciencias Quimicobiológicas e Investigador en Ciencias Médicas.
Programación fetal, epigenética, obesidad.
Un papá muy feliz y me gusta correr!!!",,FALSE,10,60,0,267,192,2018-08-28 12:47:34,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1038841308629164032/mo6mUJ85_normal.jpg"
"x1087425222138052608","x1156178719368761344",2019-07-30 12:24:22,"majofitmx","Empoderémonos, Hagamos posible la Lactancia Materna

Semana Mundial de la Lactancia Materna
del 1o al 7 de agosto de 2019

#LactanciaMaternaINPer 
#LactanciaMaterna #lechematerna #leche #lechehumana #lactancia https://t.co/pLUXhGQrdz","Twitter for iPhone",140,,,,FALSE,TRUE,0,27,,,,,,,,,,,,,,"x122139029","INPer_mx","es",,,,,,,,,,,,,,,,"x1155693802205712386","Empoderémonos, Hagamos posible la Lactancia Materna

Semana Mundial de la Lactancia Materna
del 1o al 7 de agosto de 2019

#LactanciaMaternaINPer 
#LactanciaMaterna #lechematerna #leche #lechehumana #lactancia https://t.co/pLUXhGQrdz",2019-07-29 04:17:28,"Twitter for iPhone",50,27,"x122139029","INPer_mx","INPer",21210,300,11816,"México","Instituto Nacional de Perinatología. Institución líder en Latinoamérica en investigación, educación, atención médica, salud reproductiva y perinatal.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/majofitmx/status/1156178719368761344","Maria Jose Suarez","","Nutrición 💕",,FALSE,9,98,0,108,73,2019-01-21 19:02:31,FALSE,,,,"https://pbs.twimg.com/profile_banners/1087425222138052608/1551635194",,"http://pbs.twimg.com/profile_images/1102264001579253760/tL6uHxo1_normal.jpg"
"x994138691969921024","x1156128459896303616",2019-07-30 09:04:39,"QuienEsElJefe",".@QuienEsElJefe, la iniciativa social que da voz y voto a los consumidores. En poco más de dos meses en España, más de 6.500 consumidores han votado las características de la #leche que quieren consumir https://t.co/FF4TSCWYSU","Twitter Web App",140,,,,FALSE,TRUE,0,4,,,,,,,,,,,,,,"x428513442 x994138691969921024","Innovaspain QuienEsElJefe","es",,,,,,,,,,,,,,,,"x1155803712394321920",".@QuienEsElJefe, la iniciativa social que da voz y voto a los consumidores. En poco más de dos meses en España, más de 6.500 consumidores han votado las características de la #leche que quieren consumir https://t.co/FF4TSCWYSU",2019-07-29 11:34:13,"Twitter Web App",1,4,"x428513442","Innovaspain","Innovaspain",12065,5261,28678,"Madrid, Spain","El periódico líder de la #innovación en español. También en Facebook https://t.co/jNUQ16yagu",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/QuienEsElJefe/status/1156128459896303616","¿Quién es el Jefe?","España","Ya puedes votar los huevos que quieres consumir 👉https://t.co/dYT4XTSOmA","https://t.co/BRf9cD0G8g",FALSE,270,260,2,313,319,2018-05-09 08:55:09,FALSE,"https://t.co/BRf9cD0G8g","http://www.lamarcadelosconsumidores.es",,"https://pbs.twimg.com/profile_banners/994138691969921024/1562747641",,"http://pbs.twimg.com/profile_images/1146345925020913664/u8fGik9i_normal.jpg"
"x211453294","x1156118162435444739",2019-07-30 08:23:44,"Covap","Según la @FAO, en la próxima década, la producción de #leche mundial crecerá un 1,7% anual mientras el #consumo lo hará en un 1%. https://t.co/yLbl64HbpM https://t.co/ORQJJ0bmAN","Salesforce - Social Studio",153,,,,FALSE,FALSE,1,0,"leche consumo",,"bit.ly/2YtRLP1","https://t.co/yLbl64HbpM","http://bit.ly/2YtRLP1","http://pbs.twimg.com/media/EAtbVMOX4AAIBbm.jpg","https://t.co/ORQJJ0bmAN","https://twitter.com/Covap/status/1156118162435444739/photo/1","photo","http://pbs.twimg.com/media/EAtbVMOX4AAIBbm.jpg","https://t.co/ORQJJ0bmAN","https://twitter.com/Covap/status/1156118162435444739/photo/1",,"x19649135","FAO","es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Covap/status/1156118162435444739","COVAP","Pozoblanco, España","Cooperativa Ganadera del Valle de los Pedroches con más de 14.500 socios que produce y comercializa lácteos,quesos, ibéricos, carnes y alimentación animal.","https://t.co/mMYNyhWD8l",FALSE,6986,1007,160,7272,4275,2010-11-03 09:10:00,FALSE,"https://t.co/mMYNyhWD8l","http://www.covap.es/",,"https://pbs.twimg.com/profile_banners/211453294/1536831988","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1032173136924557312/7drKBo5b_normal.jpg"
"x1330764656","x1156093644350189568",2019-07-30 06:46:18,"maarys_mary","Curso @INPer_mx
¡El cuidado cariñoso en la infancia transforma a personas y a generaciones!

Dirigido a: Embarazadas y familiares

Lunes 5 de agosto • Entrada libre

#SemanaMundialdelaLactanciaMaterna

#LactanciaMaternaINPer 
#LactanciaMaterna #lechematerna #leche #lechehumana https://t.co/sYXIOKFQ4O","Twitter for Android",140,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,"x122139029 x122139029","INPer_mx INPer_mx","es",,,,,,,,,,,,,,,,"x1156057764365570048","Curso @INPer_mx
¡El cuidado cariñoso en la infancia transforma a personas y a generaciones!

Dirigido a: Embarazadas y familiares

Lunes 5 de agosto • Entrada libre

#SemanaMundialdelaLactanciaMaterna

#LactanciaMaternaINPer 
#LactanciaMaterna #lechematerna #leche #lechehumana https://t.co/sYXIOKFQ4O",2019-07-30 04:23:44,"Twitter for iPhone",9,3,"x122139029","INPer_mx","INPer",21210,300,11816,"México","Instituto Nacional de Perinatología. Institución líder en Latinoamérica en investigación, educación, atención médica, salud reproductiva y perinatal.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/maarys_mary/status/1156093644350189568","Maricruz Espinosa.","CDMX","Digo lo que pienso, hago lo que quiero, nadie me censura, nada está prohibido.","https://t.co/fkXc6ZQ8t9",FALSE,38,57,0,24,174,2013-04-06 05:24:06,FALSE,"https://t.co/fkXc6ZQ8t9","https://m.facebook.com/maricruz.espinosapalacios?ref=bookmarks",,"https://pbs.twimg.com/profile_banners/1330764656/1506060822","http://abs.twimg.com/images/themes/theme11/bg.gif","http://pbs.twimg.com/profile_images/1151664361884119040/QOLSsRbo_normal.jpg"
"x2198347970","x1156087768038199296",2019-07-30 06:22:57,"eliasramos100",".@QuienEsElJefe, la iniciativa social que da voz y voto a los consumidores. En poco más de dos meses en España, más de 6.500 consumidores han votado las características de la #leche que quieren consumir https://t.co/FF4TSCWYSU","Twitter for Android",140,,,,FALSE,TRUE,0,4,,,,,,,,,,,,,,"x428513442 x994138691969921024","Innovaspain QuienEsElJefe","es",,,,,,,,,,,,,,,,"x1155803712394321920",".@QuienEsElJefe, la iniciativa social que da voz y voto a los consumidores. En poco más de dos meses en España, más de 6.500 consumidores han votado las características de la #leche que quieren consumir https://t.co/FF4TSCWYSU",2019-07-29 11:34:13,"Twitter Web App",1,4,"x428513442","Innovaspain","Innovaspain",12065,5261,28678,"Madrid, Spain","El periódico líder de la #innovación en español. También en Facebook https://t.co/jNUQ16yagu",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/eliasramos100/status/1156087768038199296","elias ramos","","Ahora persiguiendo el mundo inagotable de las ideas que hacen el futuro",,FALSE,277,109,169,14996,7,2013-11-16 20:13:26,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/556056679880462336/5whvaChk_normal.jpeg"
"x715194457675706372","x1156059069527941120",2019-07-30 04:28:55,"cocinacapaz","Buenas noches 🌙💤😘..., lista la leche 🥛 asada..., ahora a refrigerar para la “riña” de mañana jajajaja #leche #milk #tomorrow #lunch #asada #horno #oven francisca.pacheco.z obra de mi Cumpe https://t.co/c750Wv7Nt8 en O'Higgins… https://t.co/zrH8OaBDSN","Instagram",250,,,,FALSE,FALSE,0,0,"leche milk tomorrow lunch asada horno oven",,"z.pacheco.ao instagram.com/p/B0hwqNZgW4A/…","https://t.co/c750Wv7Nt8 https://t.co/zrH8OaBDSN","http://z.pacheco.ao https://www.instagram.com/p/B0hwqNZgW4A/?igshid=1is5xzym4pvnd",,,,,,,,,,,"es",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/cocinacapaz/status/1156059069527941120","Cocina Capaz","Rancagua, Chile","capacitador en maestro de cocina, cocina nacional e internacional, garzón, elaboración de mermeladas y conservas, auxiliar de cocina y emprendimiento.",,FALSE,129,243,1,4546,3,2016-03-30 15:10:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/715194457675706372/1459386992",,"http://pbs.twimg.com/profile_images/1119071489473548289/t__bwK94_normal.jpg"
